Брянская область,59
Федеральное агентство научных организаций (ФАНО),1
Министерство спорта Российской Федерации (Минспорт),9
Министерство финансов Российской Федерации (Минфин),24
Промышленная политика,154
Комиссия Правительства по законопроектной деятельности,2
Министерство юстиции Российской Федерации (Минюст),9
Дорожная карта «Совершенствование правового регулирования градостроительной деятельности и улучшение предпринимательского климата в сфере строительства» («Градостроительство»),1
Демографическая и семейная политика,49
Курская область,58
Севастополь,3
Курганская область,58
Государственная программа «Развитие лесного хозяйства» на 2013–2020 годы,2
Томская область,50
Образование,131
Культура и туризм,113
Федеральная таможенная служба (ФТС) (до 15.01.2016),3
Природопользование и охрана среды,205
Федеральная служба по тарифам (ФСТ) (до 21.07.2015),5
Государственная программа «Воспроизводство и использование природных ресурсов»,1
Стратегическое и инвестиционное планирование,146
Республика Адыгея,44
Экспертный совет при Правительстве России (Экспертный совет),1
О ходе выполнения указов Президента от 7 мая 2012 года №596-606,6
Правительственная комиссия по координации деятельности Открытого правительства,2
"Федеральная служба по экологическому, технологическому и атомному надзору (Ростехнадзор)",1
Государственные и муниципальные услуги,30
"Министерство Российской Федерации по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий (МЧС)",10
Министерство энергетики Российской Федерации (Минэнерго),15
Федеральное космическое агентство (Роскосмос) (до 01.01.2016),1
Министерство Российской Федерации по развитию Дальнего Востока (Минвостокразвития),3
Псковская область,53
Орловская область,56
Астраханская область,53
Министерство здравоохранения Российской Федерации (Минздрав),11
Амурская область,83
Оренбургская область,51
"Занятость, труд, доходы населения",45
Камчатский край,46
notag,1545
Республика Калмыкия,43
Государственная программа «Развитие образования» на 2013–2020 годы,11
Челябинская область,59
Республика Мордовия,61
Калининградская область,56
Энергетическая политика,123
Градостроительство и жилищно-коммунальное хозяйство,79
Забайкальский край,61
План действий в экономике в 2016 году,12
Финансовая политика,110
Премия в области качества,4
Государственная пограничная комиссия,1
"Государственная программа развития сельского хозяйства и регулирования рынков сельскохозяйственной продукции, сырья и продовольствия на 2013–2020 годы",10
Хабаровский край,84
Дорожная карта «Повышение качества регуляторной среды для бизнеса» («Регуляторика»),2
"Правительственная комиссия по недопущению негативных последствий техногенной аварии, вызванной затоплением рудника Верхнекамского месторождения калийно-магниевых солей в г. Березники (Пермский край) (до 11.06.2015)",1
Федеральный бюджет,23
Государственная программа «Обеспечение доступным и комфортным жильём и коммунальными услугами граждан Российской Федерации»,3
Республика Саха (Якутия),84
"Правительственная комиссия по вопросам топливно-энергетического комплекса, воспроизводства минерально-сырьевой базы и повышения энергетической эффективности экономики (до 14.03.2015)",1
Министерство внутренних дел Российской Федерации (МВД),4
Государственная программа «Развитие атомного энергопромышленного комплекса»,2
Федеральная служба государственной статистики (Росстат),2
Владимирская область,57
Моногорода,14
"Правительственная комиссия по инвестиционным проектам, имеющим общегосударственное, региональное и межрегиональное значение",3
"Регулирование экономической деятельности, деловая среда",121
Республика Татарстан,63
Государственная программа «Развитие фармацевтической и медицинской промышленности»,3
Республика Бурятия,64
Магаданская область,61
Министерство образования и науки Российской Федерации (Минобрнауки),19
Государственная программа «Доступная среда» на 2011–2020 годы,4
Ульяновская область,59
Управление делами Президента Российской Федерации (Управление делами),1
Ямало-Ненецкий автономный округ,29
Министерство культуры Российской Федерации (Минкультуры),18
Российская трёхсторонняя комиссия по регулированию социально-трудовых отношений,3
Новосибирская область,56
Особые экономические зоны и другие территории со специальным статусом,41
Развитие Калининградской области,25
Липецкая область,56
Государственная программа «Социальная поддержка граждан»,1
Государственная программа «Управление федеральным имуществом»,1
Министерство сельского хозяйства Российской Федерации (Минсельхоз),21
"Разграничение полномочий, межбюджетные отношения",48
Республика Карелия,55
Министерство Российской Федерации по делам Северного Кавказа,1
Костромская область,57
Федеральная служба по регулированию алкогольного рынка (Росалкогольрегулирование) (до 15.01.2016),6
Московская область,67
Дорожная карта «Развитие конкуренции и совершенствование антимонопольной политики» («Конкуренция»),1
Белгородская область,52
Дорожная карта «Поддержка доступа на рынки зарубежных стран и поддержка экспорта» («Экспорт»),2
Краснодарский край,72
Федеральная служба Российской Федерации по контролю за оборотом наркотиков (ФСКН) (до 05.04.2016),8
Волгоградская область,55
"Государственная программа «Защита населения и территорий от чрезвычайных ситуаций, обеспечение пожарной безопасности и безопасности людей на водных объектах»",5
Государственная программа «Развитие транспортной системы»,8
Государственная программа «Обеспечение общественного порядка и противодействие преступности»,2
Ханты-Мансийский автономный округ – Югра,42
Государственная программа «Развитие внешнеэкономической деятельности»,1
Защита от чрезвычайных ситуаций,48
Государственная программа «Энергоэффективность и развитие энергетики»,2
Федеральное агентство по делам молодёжи (Росмолодёжь),1
Воронежская область,60
Саратовская область,58
Государственная программа «Развитие электронной и радиоэлектронной промышленности на 2013–2025 годы»,1
Смоленская область,54
Федеральная антимонопольная служба (ФАС),2
Дорожная карта «Совершенствование налогового администрирования» («Налоги»),1
Сахалинская область,51
Управление федеральным имуществом,239
Государственная программа «Информационное общество (2011–2020 годы)»,3
Кабардино-Балкарская Республика,50
Омская область,65
Федеральное агентство по делам национальностей (ФАДН),4
"Государственная программа по оказанию содействия добровольному переселению в Российскую Федерацию соотечественников, проживающих за рубежом",1
Красноярский край,68
Кемеровская область,61
Мурманская область,44
Авиационно-космическая отрасль. Судостроение и морская деятельность,73
Республика Башкортостан,58
Физкультура и спорт,92
Связь и информационные технологии,41
Республика Марий Эл,53
Государственная программа «Обеспечение государственной безопасности»,1
Ростовская область,61
Ставропольский край,61
Правительственная комиссия по делам соотечественников за рубежом,2
Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека (Роспотребнадзор),2
Министерство обороны Российской Федерации (Минобороны),13
Министерство природных ресурсов и экологии Российской Федерации (Минприроды),16
Республика Алтай,48
Калужская область,55
Государственная программа «Развитие федеративных отношений и создание условий для эффективного и ответственного управления региональными и муниципальными финансами»,3
Чукотский автономный округ,25
Министерство промышленности и торговли Российской Федерации (Минпромторг),10
Республика Крым,5
Старшее поколение,1
Ивановская область,53
Тамбовская область,66
Государственная программа «Развитие рыбохозяйственного комплекса»,1
Рязанская область,50
Правительственная комиссия по использованию информационных технологий для улучшения качества жизни и условий ведения предпринимательской деятельности,1
"Пенсионное обеспечение, социальное страхование",37
Приморский край,77
Малое и среднее предпринимательство,36
Антикризисные действия Правительства в 2015 году,68
Интеграция и развитие Крыма,104
Правительственная комиссия по оказанию помощи пострадавшим и семьям погибших и содействию в ликвидации последствий аварии на шахте «Северная»,2
Государственная программа «Развитие промышленности и повышение её конкурентоспособности»,5
Ярославская область,44
Министерство транспорта Российской Федерации (Минтранс),24
"Жилищная политика, рынок жилья",53
Чеченская Республика,47
Министерство иностранных дел Российской Федерации (МИД),23
Кировская область,53
Оборонно-промышленный комплекс,72
Республика Дагестан,56
Премия в области средств массовой информации,4
Республика Хакасия,52
Республика Ингушетия,41
Государственная программа «Развитие Северо-Кавказского федерального округа» на период до 2025 года,1
Архангельская область,53
Социальная защита и поддержка отдельных категорий граждан,68
Министерство экономического развития Российской Федерации (Минэкономразвития),43
Республика Коми,50
Государственная программа «Развитие физической культуры и спорта»,14
Инновации,34
Наука,83
Федеральная миграционная служба (ФМС) (до 05.04.2016),7
Республика Северная Осетия - Алания,49
Правительственная комиссия по вопросам развития электроэнергетики,1
Пермский край,52
Государственная программа «Содействие занятости населения»,1
Еврейская автономная область,64
Арктическая деятельность,25
Самарская область,57
Чувашская Республика - Чувашия,61
Пензенская область,56
Миграционная политика,144
Удмуртская Республика (Удмуртия),43
Государственная комиссия по противодействию незаконному обороту промышленной продукции,1
Министерство связи и массовых коммуникаций Российской Федерации (Минкомсвязь),7
Министерство строительства и жилищно-коммунального хозяйства (Минстрой),8
"Правительственная комиссия по ликвидации последствий крупномасштабного наводнения на территориях Республики Саха (Якутия), Приморского и Хабаровского краёв, Амурской и Магаданской областей, Еврейской автономной области (до 24.12.2014)",1
Государственная программа «Экономическое развитие и инновационная экономика»,5
Развитие Дальнего Востока и Байкальского региона,83
Государственная программа «Развитие культуры и туризма» на 2013–2020 годы,2
Санкт-Петербург,46
Министерство регионального развития Российской Федерации (Минрегион) (до 08.09.2014),6
Карачаево-Черкесская Республика,45
Свердловская область,67
Новгородская область,53
Развитие Северного Кавказа,17
Тюменская область,53
Внесение законопроектов в Государственную Думу,1
Качество государственного управления,29
Правительственная комиссия по вопросам социально-экономического развития Дальнего Востока и Байкальского региона,1
Иркутская область,68
Тульская область,55
Дорожная карта «Повышение доступности энергетической инфраструктуры» («Энергетика»),2
Вологодская область,52
Транспорт и транспортная инфраструктура,156
Государственная программа «Противодействие незаконному обороту наркотиков»,3
"Оперативный штаб по урегулированию вопросов, связанных с временным приостановлением авиационного сообщения с Арабской Республикой Египет (до 12.12.2015)",1
Нижегородская область,57
Торгово-экономические отношения в СНГ,96
"Сельское хозяйство, агропромышленный и рыбохозяйственный комплексы",189
Безопасность дорожного движения,28
О ходе выполнения поручений Президента Правительству,8
Федеральное агентство по обустройству государственной границы Российской Федерации (Росграница) (до 02.02.2016),1
Москва,55
"Земельные отношения, кадастровая система",21
Здравоохранение,75
Тверская область,52
Правительственная комиссия по экономическому развитию и интеграции,1
Государственная программа «Развитие здравоохранения»,3
Дорожная карта «Совершенствование оценочной деятельности» («Оценка»),1
Министерство труда и социальной защиты Российской Федерации (Минтруд),18
Ненецкий автономный округ,14
Государственная программа «Юстиция»,2
Алтайский край,60
Ленинградская область,57
Государственная программа «Развитие науки и технологий» на 2013–2020 годы,3
"Внешнеэкономическая деятельность, таможенное регулирование, поддержка несырьевого экспорта",101
Республика Тыва,53
